"","TAVG","TMAX","TMIN","TOBS","DAPR","MDPR","PRCP","SNOW","SNWD","AWND","PGTM","WDF2","WDF5","DATE","NAME"
"170",72,79,66,NA,NA,NA,0,0,0,9.62,NA,140,120,"2023/6/19","LAGUARDIA AIRPORT, NY US"
"171",68,76,63,NA,NA,NA,0,0,0,10.96,NA,50,70,"2023/6/20","LAGUARDIA AIRPORT, NY US"
"172",66,72,62,NA,NA,NA,0,0,0,15.88,NA,40,50,"2023/6/21","LAGUARDIA AIRPORT, NY US"
"173",65,71,60,NA,NA,NA,0.01,0,0,14.09,NA,60,60,"2023/6/22","LAGUARDIA AIRPORT, NY US"
"174",67,74,65,NA,NA,NA,0.08,0,0,7.16,NA,100,40,"2023/6/23","LAGUARDIA AIRPORT, NY US"
"175",72,80,68,NA,NA,NA,0.03,0,0,7.38,NA,170,160,"2023/6/24","LAGUARDIA AIRPORT, NY US"
"176",74,83,68,NA,NA,NA,0.02,0,0,8.05,NA,170,170,"2023/6/25","LAGUARDIA AIRPORT, NY US"
"177",74,83,69,NA,NA,NA,0.07,0,0,8.5,NA,330,150,"2023/6/26","LAGUARDIA AIRPORT, NY US"
"178",73,81,68,NA,NA,NA,0.02,0,0,7.61,NA,190,190,"2023/6/27","LAGUARDIA AIRPORT, NY US"
"179",74,84,69,NA,NA,NA,0,0,0,7.61,NA,290,290,"2023/6/28","LAGUARDIA AIRPORT, NY US"
"180",74,83,67,NA,NA,NA,0,0,0,7.83,NA,320,300,"2023/6/29","LAGUARDIA AIRPORT, NY US"
"181",76,86,69,NA,NA,NA,0,0,0,7.61,NA,160,170,"2023/6/30","LAGUARDIA AIRPORT, NY US"
"182",76,83,71,NA,NA,NA,0,0,0,10.07,NA,160,180,"2023/7/1","LAGUARDIA AIRPORT, NY US"
"183",77,91,72,NA,NA,NA,0.6,0,0,9.84,NA,190,190,"2023/7/2","LAGUARDIA AIRPORT, NY US"
"184",81,91,74,NA,NA,NA,0.37,0,0,8.28,NA,160,160,"2023/7/3","LAGUARDIA AIRPORT, NY US"
"185",79,83,73,NA,NA,NA,0.28,0,0,4.25,NA,170,170,"2023/7/4","LAGUARDIA AIRPORT, NY US"
"186",80,94,71,NA,NA,NA,0,0,0,6.26,NA,170,170,"2023/7/5","LAGUARDIA AIRPORT, NY US"
